"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 10:39:15 GMT 2024","Fri Jun 07 10:39:50 GMT 2024","35310","","FillFormTestWithAllure","","FillFormTestWithAllure","successRegistrationTestWithAllure","Успешная регистрация",""
"passed","Fri Jun 07 10:39:50 GMT 2024","Fri Jun 07 10:40:27 GMT 2024","36861","","FillFormTestWithFakeData","","FillFormTestWithFakeData","successRegistrationTest","successRegistrationTest()",""
"failed","Fri Jun 07 10:40:27 GMT 2024","Fri Jun 07 10:40:59 GMT 2024","32024","","FillFormTestWithPageOdject","","FillFormTestWithPageOdject","successRegistrationTest","successRegistrationTest()",""
