"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 10:30:13 GMT 2024","Fri Jun 07 10:30:50 GMT 2024","36647","","FillFormTestWithFakeData","","FillFormTestWithFakeData","successRegistrationTest","successRegistrationTest()",""
"passed","Fri Jun 07 10:30:50 GMT 2024","Fri Jun 07 10:31:25 GMT 2024","34654","","FillFormTestWithPageOdject","","FillFormTestWithPageOdject","successRegistrationTest","successRegistrationTest()",""
"passed","Fri Jun 07 10:29:39 GMT 2024","Fri Jun 07 10:30:13 GMT 2024","34351","","FillFormTestWithAllure","","FillFormTestWithAllure","successRegistrationTestWithAllure","Успешная регистрация",""
