"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 16:40:52 GMT 2024","Fri Jun 07 16:41:26 GMT 2024","34792","","FillFormTestWithPageOdject","","FillFormTestWithPageOdject","successRegistrationTest","successRegistrationTest()",""
"passed","Fri Jun 07 16:39:41 GMT 2024","Fri Jun 07 16:40:16 GMT 2024","34891","","FillFormTestWithAllure","","FillFormTestWithAllure","successRegistrationTestWithAllure","Успешная регистрация",""
"passed","Fri Jun 07 16:40:16 GMT 2024","Fri Jun 07 16:40:52 GMT 2024","35152","","FillFormTestWithFakeData","","FillFormTestWithFakeData","successRegistrationTest","successRegistrationTest()",""
