"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 17:06:34 GMT 2024","Fri Jun 07 17:07:03 GMT 2024","28549","","FillFormTestWithAllure","","FillFormTestWithAllure","successRegistrationTestWithAllure","Успешная регистрация",""
"passed","Fri Jun 07 17:07:31 GMT 2024","Fri Jun 07 17:08:00 GMT 2024","28778","","FillFormTestWithPageOdject","","FillFormTestWithPageOdject","successRegistrationTest","successRegistrationTest()",""
"passed","Fri Jun 07 17:07:03 GMT 2024","Fri Jun 07 17:07:31 GMT 2024","28073","","FillFormTestWithFakeData","","FillFormTestWithFakeData","successRegistrationTest","successRegistrationTest()",""
