"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 19:08:32 GMT 2024","Wed Jun 05 19:09:08 GMT 2024","35912","","FillFormTestWithAllure","","FillFormTestWithAllure","successRegistrationTestWithAllure","Успешная регистрация",""
"passed","Wed Jun 05 19:09:08 GMT 2024","Wed Jun 05 19:09:45 GMT 2024","36159","","FillFormTestWithFakeData","","FillFormTestWithFakeData","successRegistrationTest","successRegistrationTest()",""
"passed","Wed Jun 05 19:09:45 GMT 2024","Wed Jun 05 19:10:23 GMT 2024","38696","","FillFormTestWithPageOdject","","FillFormTestWithPageOdject","successRegistrationTest","successRegistrationTest()",""
