"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 05 09:18:59 GMT 2024","Wed Jun 05 09:19:05 GMT 2024","6025","","FillFormTestWithFakeData","","FillFormTestWithFakeData","successRegistrationTest","successRegistrationTest()",""
"failed","Wed Jun 05 09:19:05 GMT 2024","Wed Jun 05 09:19:11 GMT 2024","5853","","FillFormTestWithPageOdject","","FillFormTestWithPageOdject","successRegistrationTest","successRegistrationTest()",""
"passed","Wed Jun 05 09:18:40 GMT 2024","Wed Jun 05 09:18:59 GMT 2024","19242","","FillFormTestWithAllure","","FillFormTestWithAllure","successRegistrationTestWithAllure","successRegistrationTestWithAllure()",""
"passed","Wed Jun 05 09:18:18 GMT 2024","Wed Jun 05 09:18:39 GMT 2024","21439","","FillFormTest","","FillFormTest","successfulSearchTest","successfulSearchTest()",""
