"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 09:27:19 GMT 2024","Wed Jun 05 09:27:38 GMT 2024","19111","","FillFormTestWithAllure","","FillFormTestWithAllure","successRegistrationTestWithAllure","successRegistrationTestWithAllure()",""
"passed","Wed Jun 05 09:27:57 GMT 2024","Wed Jun 05 09:28:17 GMT 2024","19013","","FillFormTestWithPageOdject","","FillFormTestWithPageOdject","successRegistrationTest","successRegistrationTest()",""
"passed","Wed Jun 05 09:27:38 GMT 2024","Wed Jun 05 09:27:57 GMT 2024","19116","","FillFormTestWithFakeData","","FillFormTestWithFakeData","successRegistrationTest","successRegistrationTest()",""
"passed","Wed Jun 05 09:26:57 GMT 2024","Wed Jun 05 09:27:19 GMT 2024","21817","","FillFormTest","","FillFormTest","successfulSearchTest","successfulSearchTest()",""
